district_number,total_votes,democratic_votes,republican_votes,democratic_share,republican_share,margin,winner,B01001B_029E,B01001B_027E,B01001B_028E,B01001B_025E,B01001B_026E,B01001B_022E,B01001B_023E,B01001B_024E,B01001B_020E,B01001B_021E,B01001B_019E,B01001B_017E,B01001B_018E,B01001B_015E,B01001B_016E,B01001B_013E,B01001B_014E,B01001B_010E,B01001B_011E,B01001B_012E,year,democratic_share_lag_1,democratic_share_lag_2,democratic_share_lag_4,B01001B_029E_scaled,B01001B_027E_scaled,B01001B_028E_scaled,B01001B_025E_scaled,B01001B_026E_scaled,B01001B_022E_scaled,B01001B_023E_scaled,B01001B_024E_scaled,B01001B_020E_scaled,B01001B_021E_scaled,B01001B_019E_scaled,B01001B_017E_scaled,B01001B_018E_scaled,B01001B_015E_scaled,B01001B_016E_scaled,B01001B_013E_scaled,B01001B_014E_scaled,B01001B_010E_scaled,B01001B_011E_scaled,B01001B_012E_scaled
1,360658,227213,132538,0.6299957300267843,0.36748942211180674,0.26250630791497764,Democratic,238,543,395,362,622,123,304,377,171,144,351,3990,240,42,20,701,193,476,752,845,2018,,,,-0.786618632640944,-0.8947719486591272,-0.8938538142764376,-1.049675292131969,-0.9640472801373616,-0.9900678138053768,-0.9562268475991919,-1.0173644860971491,-1.05083090451947,-0.9715707193092832,-0.9129309435768949,-0.9560425505976186,-0.9323049405746868,-0.8226812303251455,-1.0272635318543586,-0.9626039886233944,-1.0313229441499083,-1.0185436355728985,-1.1050267657871036,-0.8989105483926603
1,360658,227213,132538,0.6299957300267843,0.36748942211180674,0.26250630791497764,Democratic,224,631,345,423,750,122,320,443,212,155,372,4348,250,74,10,688,207,500,832,764,2019,0.6299957300267843,,,-0.8024781330350169,-0.8374833970554063,-0.9291576468497817,-0.9918660193847703,-0.8903719141616259,-0.9932253653022756,-0.9413052322920523,-0.9598600132889175,-1.0101706409251026,-0.9515153604244586,-0.8906096048529578,-0.9286101629030833,-0.922817977529662,-0.7226254050153305,-1.1385864913569381,-0.9720113279709501,-1.0109933617089057,-0.99981259600168,-1.0644608517827843,-0.9429899073391675
1,360658,227213,132538,0.6299957300267843,0.36748942211180674,0.26250630791497764,Democratic,176,668,384,571,626,93,415,428,334,259,279,4715,377,55,12,667,280,480,841,798,2020,0.6299957300267843,0.6299957300267843,,-0.8568535629575528,-0.8133961651311145,-0.9016206574425734,-0.851607455998124,-0.9617449249506199,-1.0847943587123405,-0.8527081414059113,-0.9729292116544247,-0.8891815638882046,-0.7619010582406619,-0.9894612477732504,-0.900488134177121,-0.8023335468578471,-0.7820335512930332,-1.1163218994564221,-0.9872077992246939,-0.9049891104093923,-1.015421795644362,-1.0598971864572984,-0.9244874603739669
2,413220,263750,148167,0.638279850926867,0.3585668651081748,0.2797129858186922,Democratic,366,1081,709,943,1649,235,873,1109,644,496,1025,9889,583,55,48,1143,440,951,2512,2110,2018,,,,-0.6416174861808484,-0.5445305763545603,-0.6721457457158362,-0.4990656615397971,-0.3729175859414193,-0.636422046152712,-0.4255769032390421,-0.37958760586039797,-0.5817503025649391,-0.32979923499489433,-0.1965222626276783,-0.5040211678879425,-0.6069021081303363,-0.7820335512930332,-0.715559245247136,-0.6427544508064997,-0.6726510253693629,-0.6478251440592003,-0.21257665769207879,-0.21051068336387502
2,413220,263750,148167,0.638279850926867,0.3585668651081748,0.2797129858186922,Democratic,454,1161,829,923,1746,262,815,962,583,450,951,10030,671,76,73,1218,414,976,2744,2215,2019,0.638279850926867,,,-0.5419291979895327,-0.492450074896632,-0.5874165475398101,-0.5180195214569114,-0.3170854726629321,-0.5511681557364446,-0.47966775872742295,-0.5076657498423685,-0.6422448410833881,-0.41366709942234287,-0.2751784086072659,-0.4932167917289216,-0.523416833334118,-0.716371915933467,-0.4372518464906872,-0.5884813391859859,-0.7104059641883677,-0.6283136445058478,-0.0949355070795528,-0.1533707736184027
2,413220,263750,148167,0.638279850926867,0.3585668651081748,0.2797129858186922,Democratic,455,1347,911,1001,1775,331,1041,1001,667,412,940,10850,699,77,127,1446,455,1201,2903,2283,2020,0.638279850926867,0.638279850926867,,-0.5407963765328132,-0.371362909006949,-0.5295182621195257,-0.44409946778016546,-0.3003933975590544,-0.33329710245042804,-0.268899942514077,-0.4736858340920498,-0.5589408864022452,-0.4829492482971917,-0.2868705384150424,-0.43038283108780706,-0.4968533368080486,-0.7132451713925353,0.16389213482324214,-0.423491079859624,-0.6508693298968602,-0.4527101485256751,-0.014310752995968175,-0.1163658796880016
4,295052,0,289652,0.0,0.9816981413445766,0.9816981413445766,Republican,155,449,346,226,244,110,287,322,568,193,400,3763,258,134,36,618,177,396,705,534,2018,,,,-0.8806428135486623,-0.9559665378721929,-0.9284515701983149,-1.1785615395683466,-1.1816198452844564,-1.0311159832650612,-0.9720810638630276,-1.065284880104009,-0.6571205472764493,-0.8822332115496098,-0.8608478198877085,-0.9734368299458296,-0.9152284070936422,-0.5350207325594274,-0.8491467966502314,-1.0226662321500963,-1.0545567526539112,-1.0809804341436264,-1.1288592402646411,-1.068153519162583
4,295052,0,289652,0.0,0.9816981413445766,0.9816981413445766,Republican,171,390,349,273,302,122,283,360,542,227,386,3746,212,109,33,631,243,435,861,502,2019,0.0,,,-0.8625176702411502,-0.9943759076974149,-0.9263333402439142,-1.1340199687631278,-1.148235695076701,-0.9932253653022756,-0.9758114676898125,-1.032176244244724,-0.6829051046777554,-0.8202439204510609,-0.8757287123703332,-0.9747394852274136,-0.9588684371007562,-0.6131893460827204,-0.8825436845010053,-1.0132588928025406,-0.9587172925748991,-1.0505424948403965,-1.0497557079562185,-1.0855675868945365
4,295052,0,289652,0.0,0.9816981413445766,0.9816981413445766,Republican,304,376,272,239,450,114,367,240,601,356,427,4091,239,65,48,580,361,516,767,454,2020,0.0,0.0,,-0.7118524164974572,-1.0034899954525525,-0.9807012424068643,-1.1662415306222222,-1.0630485531672567,-1.0184857772774658,-0.8974729873273299,-1.1367298311687815,-0.6243939936517147,-0.5850492571653899,-0.8321489558140752,-0.9483032456893837,-0.9332536368791893,-0.750766105883716,-0.715559245247136,-1.05016460870449,-0.7873679548578775,-0.9873252362875344,-1.0974206569112936,-1.1116886884924666
7,419819,352286,66220,0.8391378189172001,0.1577346427865342,0.6814031761306658,Democratic,840,1675,1441,1704,2429,453,882,1733,1138,436,1062,15843,1487,187,93,1994,917,1886,2776,2363,2018,,,,-0.10466011569580688,-0.15783285302944342,-0.15529763684207729,0.22212870830640408,0.07604167547322044,0.05192418017122462,-0.41718349462877613,0.1640910461447014,-0.09184371194012247,-0.43919210163939243,-0.1571941896378845,-0.04778531220843553,0.2507193511399054,-0.36930327189004625,-0.2146059274855282,-0.026935544285736444,0.02000689065622483,0.08190493923618421,-0.07870914147782508,-0.07283071035811794
7,419819,352286,66220,0.8391378189172001,0.1577346427865342,0.6814031761306658,Democratic,999,1715,1691,1728,2573,534,992,1784,1194,508,1039,16595,1216,175,138,2282,1112,2089,2950,2209,2019,0.8391378189172001,,,0.07545849592259313,-0.13179260230047932,0.021221526024643632,0.2448733402069413,0.15892646219592316,0.3076858514200268,-0.31459738939219184,0.20852632058742587,-0.036307742152693875,-0.30792066166599474,-0.18164137014505363,0.009838027306342645,-0.006377347380266621,-0.4068242063812269,0.2863473902760796,0.18147320433703656,0.3031689317987607,0.24033831560940674,0.009521721481569418,-0.15663591131814397
7,419819,352286,66220,0.8391378189172001,0.1577346427865342,0.6814031761306658,Democratic,1121,1911,1838,1881,2724,609,1117,1796,1257,539,1163,17730,1234,247,52,2440,1211,2432,3103,2023,2020,0.8391378189172001,0.8391378189172001,,0.21366271364237174,-0.004195373728555261,0.12501479379027552,0.3898703685728661,0.24584037049542393,0.5445022136874362,-0.19802226980516419,0.21898167927983161,0.026170223858163304,-0.2514010138996707,-0.04983917958466363,0.09680942404739747,0.010699186100778014,-0.18169859943414313,-0.6710300614461042,0.2958085594842523,0.44692812191727893,0.5080360894814034,0.0871040320148301,-0.2578551800101235
9,279298,273381,0,0.9788147426762812,0.0,0.9788147426762812,Democratic,2514,5204,4446,3095,5413,987,3167,3650,3371,1779,2814,41222,3258,848,244,4461,2127,3984,6361,6103,2018,,,,1.791683002852631,2.139568267533414,1.9664627008159081,1.5403696655417074,1.7935986447825603,1.7380566795151797,1.7138096914220888,1.8343345972565208,2.122653083333593,2.00938489675329,1.7050432124734323,1.896925769634058,1.930860506413797,1.69747486966582,1.4663707610034225,1.7582880072850309,1.7770636587714475,1.7193099817535284,1.739150879840734,1.962438455813943
9,279298,273381,0,0.9788147426762812,0.0,0.9788147426762812,Democratic,2526,4983,4338,3458,5579,1077,3565,3705,3622,1662,2988,42549,3457,928,267,4541,2017,3912,6542,6204,2019,0.9788147426762812,,,1.8052768603332647,1.9956958822558872,1.8902064224574846,1.8843822230373328,1.8891463850323424,2.022236314236071,2.084984872187185,1.8822549912633806,2.3715732336308175,1.796068806796519,1.8899914476146247,1.9986095083788862,2.11965107100979,1.9476144329403573,1.7224135678593553,1.8161793263469121,1.6173312253064271,1.6631168630398732,1.8309312602755063,2.017401607092921
9,279298,273381,0,0.9788147426762812,0.0,0.9788147426762812,Democratic,3166,4609,4234,3318,5718,967,3211,3615,2779,1926,3588,42079,3201,1050,285,4608,2272,4161,6861,5840,2020,0.9788147426762812,0.9788147426762812,,2.530282592633743,1.752219537940073,1.8167744507049288,1.7517052036175325,1.9691532277716182,1.6749056495772037,1.7548441335167226,1.8038398010703374,1.5355585455807763,2.2773974200323104,2.527743982584254,1.9625949211821496,1.8767848170571555,2.329077266934027,1.9227948949639984,1.8646633060612379,1.987620048338974,1.8574513985912644,1.9926878423677297,1.8193165866419503
10,348044,203732,143492,0.5853627702244544,0.4122812058245509,0.17308156439990346,Democratic,980,2574,2256,1897,2706,501,2215,2030,1477,979,1414,21140,1587,551,139,2781,1092,2343,3641,3182,2018,,,,0.05393488824492268,0.4274217821040246,0.4201548341034329,0.4050334565065576,0.2354797721550861,0.20348665202236665,0.8259735806472865,0.42286117378174387,0.2443472480230614,0.5508133414933154,0.2169539642109645,0.3581067481769102,0.34558898159015333,0.7688317410090993,0.2974796862263375,0.5425703069855217,0.27412667116875705,0.43857515107146844,0.35990980369387743,0.372860585656566
10,348044,203732,143492,0.5853627702244544,0.4122812058245509,0.17308156439990346,Democratic,1105,2567,2463,2040,2835,592,2218,2046,1358,824,1345,21641,1656,478,160,2889,1258,2488,3727,3188,2019,0.5853627702244544,,,0.1955375703348598,0.42286473822645587,0.5663127009570779,0.5405535549139252,0.3097307269275073,0.49082383824015674,0.8287713835173751,0.4368016520382849,0.12633331222477562,0.2682151026616953,0.14361242268945718,0.39649676559300573,0.41104902660082443,0.5405793895210839,0.5312579011817545,0.6207235877190616,0.5151774343977875,0.5517418484809131,0.4035181612485207,0.37612572335630723
10,348044,203732,143492,0.5853627702244544,0.4122812058245509,0.17308156439990346,Democratic,989,2630,2650,2371,3203,626,1856,2203,1633,839,1234,22178,1384,341,236,2874,1482,2833,3884,3326,2020,0.5853627702244544,0.5853627702244544,,0.06413028135539815,0.4638781331245743,0.6983490347813851,0.8542399365421678,0.5215474041077476,0.5981805891347156,0.4911698371933431,0.5735925949305936,0.3990545924308982,0.2955633193228198,0.025628203720075807,0.4376453471348088,0.15300363177614998,0.11221538741343844,1.3773123934013587,0.6098689653949588,0.8404507534538288,0.821000542317178,0.48312876748199735,0.45122389045035655
